legacy_path,artifact_class,source_lane,compiled_vs_source,candidate_femic_home,status,notes
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/baseMKRF.pin,compiled_model,compiled_bundle,compiled_runtime,models/mkrf_patchworks_model/analysis/baseMKRF.pin,recover_first,Primary compiled Patchworks entrypoint generated by PinBuilder and hard-wired to tracks plus fragments.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/runME.bsh,builder_script,compiled_bundle,launcher_script,runbooks/legacy_patchworks_scripts/runME.bsh,recover_first,One-line launcher that sources ScenarioSet.bsh.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/ScenarioSet.bsh,builder_script,compiled_bundle,scenario_controller,runbooks/legacy_patchworks_scripts/ScenarioSet.bsh,recover_first,Scenario-set controller with convergence spec and target activation logic.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/Scripts/*.bsh,builder_script,compiled_bundle,runtime_scripts,runbooks/legacy_patchworks_scripts/,recover_first,Patchworks runtime/report helper scripts including ratio accounts and reporting suites.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/XML/baseMKRF.xml,compiled_model,compiled_bundle,editable_source,output/patchworks_mkrf_validated/forestmodel.xml,recover_first,Primary editable legacy model XML candidate.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/XML/Curves.xml,compiled_model,compiled_bundle,editable_source,output/patchworks_mkrf_validated/curve_sources/Curves.xml,recover_first,Curve-heavy XML companion that likely preserves legacy yield/account structure.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/XML/002_base.xlsm,builder_script,compiled_bundle,source_workbook,data/legacy_mkrf/xml_builders/002_base.xlsm,recover_first,Workbook dependency in the legacy XML builder chain.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/XML/001_makeCurves_XML.py,builder_script,compiled_bundle,source_builder,data/legacy_mkrf/xml_builders/001_makeCurves_XML.py,recover_first,Legacy XML curve-builder script.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/XML/003_MakeAccounts.py,builder_script,compiled_bundle,source_builder,data/legacy_mkrf/xml_builders/003_MakeAccounts.py,recover_first,Legacy account-builder script.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/XML/CSV/*,compiled_model,compiled_bundle,builder_inputs,data/legacy_mkrf/xml_builder_csv/,recover_first,CSV inputs feeding the XML/workbook builder lane.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/Tracks/*.csv,compiled_model,compiled_bundle,compiled_runtime,models/mkrf_patchworks_model/tracks/,recover_first,Primary compiled Patchworks table surface analogous to FEMIC checked-in tracks.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/Spatial/fragments.*,spatial_runtime,compiled_bundle,compiled_runtime,output/patchworks_mkrf_validated/fragments/,recover_first,Primary spatial runtime surface referenced directly by the PIN.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/Spatial/topo_frag100.csv,spatial_runtime,compiled_bundle,compiled_runtime,models/mkrf_patchworks_model/blocks/topology_fragments.csv,recover_first,Topology sidecar loaded by the PIN for patch/adjacency logic.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/Targets/000_Targets_Builder.xlsx,builder_script,compiled_bundle,source_workbook,data/legacy_mkrf/targets/000_Targets_Builder.xlsx,recover_first,Target-builder workbook used to define scenario target surfaces.
MKRF_Cosmin_Model/MKRF/04_Models/PW_MKRF/Targets/*.bsh,builder_script,compiled_bundle,target_scripts,models/mkrf_patchworks_model/targets/,recover_first,Target scripts for harvest, patch, and flow controls.
